img_num,prediction type,scribbles mode,scribbles bin,suffix,max_class_pix_gt,min_class_pix_gt,pix_labelled,max_class_pix_labelled,min_class_pix_labelled,pix_in_img,perc. labelled,accuracy,scribbles,prediction
8,convpaint_l-0_s-1-2,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.6125587930484694,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0_s-1-2_all_00050_w3.png
8,convpaint_l-0_s-1-2-4,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.5483846859056123,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0_s-1-2-4_all_00050_w3.png
8,convpaint_l-0_s-1-2-4-8,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.48695093271683676,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0_s-1-2-4-8_all_00050_w3.png
8,convpaint_l-0-2_s-1,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.5753148915816326,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0-2_s-1_all_00050_w3.png
8,convpaint_l-0-2_s-1-2,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.5509805484693877,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0-2_s-1-2_all_00050_w3.png
8,convpaint_l-0-2_s-1-2-4,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.4759496572066326,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0-2_s-1-2-4_all_00050_w3.png
8,convpaint_l-0-2_s-1-2-4-8,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.4769262197066326,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0-2_s-1-2-4-8_all_00050_w3.png
8,ilastik,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.5317930883290817,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_ilastik_all_00050_w3.png
8,dino,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.8475815130739796,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_dino_all_00050_w3.png
8,convpaint_l-0_s-1,all,0.3,w3,99419,12157,1908,198796,148,200704,0.9506536989795918,0.8518315529336735,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00300_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0_s-1_all_00300_w3.png
