img_num,prediction tag,prediction type,layers,scalings,scribbles mode,scribbles bin,suffix,class_1_pix_gt,class_2_pix_gt,min_class_pix_gt,max_class_pix_gt,pix_labelled,class_1_pix_labelled,class_2_pix_labelled,min_class_pix_labelled,max_class_pix_labelled,pix_in_img,perc. labelled,accuracy,mPrecision,mRecall,mIoU,mF1,image,ground truth,scribbles,prediction
45,channels,channels,,,all,1.0,run08,155341,40755,40755,155341,1937,1257,680,680,1257,196096,0.9877814947780679,0.9729265257832899,0.9698274436298158,0.947029695137847,0.9202833454238738,0.9578788271098126,/mnt/imaging.data/rschwob/cellpose_run07/045_img.png,/mnt/imaging.data/rschwob/cellpose_run07/045_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/045_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/045_channels_all_01000_w1_run08.png
46,channels,channels,,,all,0.01,run08,171715,24381,24381,171715,16,10,6,6,10,196096,0.008159268929503917,0.955588079308094,0.964256080898821,0.8287529256120172,0.8002173819631768,0.8811090827725939,/mnt/imaging.data/rschwob/cellpose_run07/046_img.png,/mnt/imaging.data/rschwob/cellpose_run07/046_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/046_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/046_channels_all_00010_w1_run08.png
46,channels,channels,,,all,0.1,run08,171715,24381,24381,171715,181,123,58,58,123,196096,0.09230172976501305,0.9815192558746736,0.9717806603232789,0.9419385097812508,0.9180045833968378,0.9561862814556653,/mnt/imaging.data/rschwob/cellpose_run07/046_img.png,/mnt/imaging.data/rschwob/cellpose_run07/046_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/046_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/046_channels_all_00100_w1_run08.png
46,channels,channels,,,all,1.0,run08,171715,24381,24381,171715,1935,1331,604,604,1331,196096,0.9867615861618798,0.9836661635117493,0.9686015409145741,0.9555871336914471,0.928197518039916,0.9619668064350753,/mnt/imaging.data/rschwob/cellpose_run07/046_img.png,/mnt/imaging.data/rschwob/cellpose_run07/046_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/046_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/046_channels_all_01000_w1_run08.png
47,channels,channels,,,all,0.01,run08,174934,21162,21162,174934,15,12,3,3,12,196096,0.007649314621409922,0.963905434073107,0.9612521991589466,0.8461415380985136,0.8181924050203463,0.8931807592283836,/mnt/imaging.data/rschwob/cellpose_run07/047_img.png,/mnt/imaging.data/rschwob/cellpose_run07/047_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/047_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/047_channels_all_00010_w1_run08.png
47,channels,channels,,,all,0.1,run08,174934,21162,21162,174934,190,135,55,55,135,196096,0.096891318537859,0.9734619778067886,0.945438054331178,0.9131818796024642,0.8718001032112475,0.9285107065993532,/mnt/imaging.data/rschwob/cellpose_run07/047_img.png,/mnt/imaging.data/rschwob/cellpose_run07/047_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/047_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/047_channels_all_00100_w1_run08.png
47,channels,channels,,,all,1.0,run08,174934,21162,21162,174934,1923,1338,585,585,1338,196096,0.980642134464752,0.9826462548955613,0.9524811257413052,0.957977624227777,0.9164130621395448,0.9552072791986084,/mnt/imaging.data/rschwob/cellpose_run07/047_img.png,/mnt/imaging.data/rschwob/cellpose_run07/047_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/047_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/047_channels_all_01000_w1_run08.png
48,channels,channels,,,all,0.01,run08,175604,20492,20492,175604,15,12,3,3,12,196096,0.007649314621409922,0.9902292754569191,0.9671517951192841,0.9817423879789363,0.9506461841695253,0.9742995939067005,/mnt/imaging.data/rschwob/cellpose_run07/048_img.png,/mnt/imaging.data/rschwob/cellpose_run07/048_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/048_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/048_channels_all_00010_w1_run08.png
48,channels,channels,,,all,0.1,run08,175604,20492,20492,175604,182,132,50,50,132,196096,0.09281168407310705,0.9848186602480418,0.9798659238140437,0.9378148356782905,0.9206834790365328,0.957596664313416,/mnt/imaging.data/rschwob/cellpose_run07/048_img.png,/mnt/imaging.data/rschwob/cellpose_run07/048_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/048_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/048_channels_all_00100_w1_run08.png
48,channels,channels,,,all,1.0,run08,175604,20492,20492,175604,1935,1352,583,583,1352,196096,0.9867615861618798,0.985823270234987,0.9800551624950095,0.9430957434381031,0.9259919831376214,0.9606191240292304,/mnt/imaging.data/rschwob/cellpose_run07/048_img.png,/mnt/imaging.data/rschwob/cellpose_run07/048_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/048_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/048_channels_all_01000_w1_run08.png
